0	0	0
0	0	0
6	7	6
609	752	790
1127	165	107
379	308	387
0	0	0
1957	2014	2014
3	4	5
93	73	49
235	416	788
11	3	1
437	525	623
1718	360	246
0	0	0
8	8	8
1674	616	536
26	15	41
0	0	0
24	58	211
5	2	2
315	248	259
1700	600	576
52	39	35
5	5	5
158	198	257
191	120	117
194	157	166
42	26	26
0	0	0
0	0	0
94	67	73
311	332	361
370	135	136
288	307	433
0	0	0
2366	2409	2409
6	16	34
154	112	62
1032	761	705
20	17	16
1301	1508	1358
2042	2099	2163
0	0	0
2	2	4
1986	2046	2046
9	6	4
0	0	0
129	136	139
6	6	5
561	581	642
1110	1005	917
173	66	38
8	7	9
4	3	2
372	369	241
117	82	29
47	49	51
0	0	0
0	0	0
5	5	5
230	384	575
797	435	408
384	298	426
0	0	0
1982	2074	2074
5	5	5
1075	509	198
79	39	31
53	40	34
315	405	549
2140	738	364
0	0	0
9	6	7
1298	1101	916
22	14	14
0	0	0
23	33	49
4	5	6
339	306	325
1807	1877	1877
45	67	106
5	4	4
36	30	37
77	96	127
111	86	103
26	32	44
